game_pk,home_Team,away_Team,home_game_date,away_game_date,home_sp_mlbam,away_sp_mlbam,home_roll5_win_pct,home_roll5_runs_scored,home_roll5_runs_allowed,home_roll5_run_diff,away_roll5_win_pct,away_roll5_runs_scored,away_roll5_runs_allowed,away_roll5_run_diff,home_sp_roll3_velocity,home_sp_roll3_woba,home_sp_roll3_xwoba,home_sp_roll3_k_percent,home_sp_roll3_bb_percent,away_sp_roll3_velocity,away_sp_roll3_woba,away_sp_roll3_xwoba,away_sp_roll3_k_percent,away_sp_roll3_bb_percent,home_win_pct_to_date,away_win_pct_to_date,home_home_games_before,home_home_wins_before,home_home_win_pct_to_date,away_away_games_before,away_away_wins_before,away_away_win_pct_to_date,home_days_since_last_game,away_days_since_last_game,home_park_factor,away_park_factor
745181,STL,BAL,2024-05-20,2024-05-20,543243.0,665152.0,0.6,5.8,6.4,-0.6000000000000005,0.6,4.6,2.8,1.7999999999999998,88.43333333333334,0.34500000000000003,0.35566666666666663,27.03333333333333,5.1000000000000005,88.36666666666667,0.212,0.29833333333333334,31.8,8.466666666666667,0.425,0.6585365853658537,17,6.0,0.35294117647058826,17,12.0,0.7058823529411765,1.0,1.0,0.96,0.91
745182,STL,NYM,2024-05-06,2024-05-06,502043.0,640455.0,0.4,2.4,3.2,-0.8000000000000003,0.2,4.4,5.4,-1.0,85.4,0.225,0.299,33.3,7.4,87.5,0.27999999999999997,0.327,19.066666666666666,17.433333333333334,0.42857142857142855,0.47058823529411764,12,4.0,0.3333333333333333,15,7.0,0.4666666666666667,1.0,1.0,0.96,0.97
745183,STL,CWS,2024-05-04,2024-05-04,458681.0,607200.0,0.8,2.0,1.4,0.6000000000000001,0.2,3.2,4.8,-1.5999999999999996,89.06666666666668,0.26099999999999995,0.35366666666666663,15.300000000000002,12.1,88.56666666666666,0.215,0.17600000000000002,34.4,4.533333333333333,0.46153846153846156,0.1875,10,4.0,0.4,15,1.0,0.06666666666666667,1.0,1.0,0.96,1.04
745185,STL,CWS,2024-05-05,2024-05-05,669461.0,676979.0,0.6,2.6,2.4,0.20000000000000018,0.2,3.6,5.4,-1.8000000000000003,88.44999999999999,0.244,0.259,44.55,2.25,93.10000000000001,0.4360000000000001,0.303,28.766666666666666,9.200000000000001,0.4444444444444444,0.21212121212121213,11,4.0,0.36363636363636365,16,2.0,0.125,1.0,1.0,0.96,1.04
745186,STL,NYM,2024-05-07,2024-05-07,571945.0,676130.0,0.2,2.6,3.8,-1.1999999999999997,0.4,5.2,5.8,-0.5999999999999996,86.63333333333333,0.413,0.3626666666666667,19.5,0.0,89.33333333333333,0.31633333333333336,0.347,23.366666666666664,14.633333333333335,0.41379310344827586,0.4857142857142857,13,4.0,0.3076923076923077,16,8.0,0.5,1.0,1.0,0.96,0.97
745187,STL,CWS,2024-05-03,2024-05-03,543243.0,641745.0,0.8,1.8,1.6,0.19999999999999996,0.4,4.8,5.6,-0.7999999999999998,88.03333333333335,0.225,0.23466666666666666,37.53333333333334,5.333333333333333,89.7,0.712,0.304,6.3,0.0,0.44,0.1935483870967742,9,3.0,0.3333333333333333,14,1.0,0.07142857142857142,2.0,2.0,0.96,1.04
745189,STL,MIL,2024-04-19,2024-04-19,502043.0,642547.0,0.6,3.0,2.6,0.3999999999999999,0.4,4.4,4.8,-0.39999999999999947,87.05000000000001,0.34299999999999997,0.4315,17.6,5.9,89.39999999999999,0.218,0.244,39.699999999999996,3.1666666666666665,0.5,0.6470588235294118,6,3.0,0.5,9,7.0,0.7777777777777778,2.0,2.0,0.96,1.03
745190,STL,MIL,2024-04-20,2024-04-20,571945.0,669084.0,0.4,2.6,3.0,-0.3999999999999999,0.4,2.6,4.0,-1.4,87.43333333333334,0.36033333333333334,0.36200000000000004,17.166666666666668,7.066666666666666,87.0,0.465,0.4046666666666667,15.366666666666667,7.766666666666667,0.47058823529411764,0.6666666666666666,7,3.0,0.42857142857142855,10,8.0,0.8,1.0,1.0,0.96,1.03
745192,STL,MIL,2024-04-21,2024-04-21,543243.0,607067.0,0.4,3.0,4.6,-1.5999999999999996,0.6,4.2,3.8,0.40000000000000036,88.15,0.2225,0.21,28.200000000000003,0.0,87.86666666666667,0.29400000000000004,0.38133333333333336,15.366666666666667,4.433333333333334,0.4444444444444444,0.6842105263157895,8,3.0,0.375,11,9.0,0.8181818181818182,1.0,1.0,0.96,1.03
745194,STL,PHI,2024-04-08,2024-04-08,571945.0,605513.0,0.6,4.2,4.2,0.0,0.6,4.2,2.6,1.6,87.69999999999999,0.41000000000000003,0.3835,20.2,6.9,86.7,0.178,0.244,36.8,0.0,0.5,0.4444444444444444,3,2.0,0.6666666666666666,3,2.0,0.6666666666666666,1.0,1.0,0.96,1.04
